City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,sivrihisar,39.4504,31.5341,283.62,84,99,2.26,TR,1683398330
178,saint-joseph,-21.3667,55.6167,296.74,81,20,5.15,RE,1683398330
179,port de pollenca,39.9075,3.0814,298.17,67,100,2.12,ES,1683398330
180,belyy yar,53.6039,91.3903,279.09,56,10,1.0,RU,1683398330
181,tazovsky,67.4667,78.7,260.08,97,81,3.13,RU,1683398331
182,vilyuchinsk,52.9306,158.4028,273.3,82,29,3.55,RU,1683398331
183,semey,50.4111,80.2275,288.36,50,0,2.99,KZ,1683398172
184,bullsbrook,-31.6667,116.0,289.21,72,100,5.66,AU,1683398331
185,stanley,54.868,-1.6985,287.45,82,40,3.09,GB,1683398331
186,greymouth,-42.4667,171.2,287.78,98,100,2.84,NZ,1683398332
187,nova sintra,14.8667,-24.7167,292.91,81,7,11.79,CV,1683398332
188,sinop,41.7711,34.8709,283.31,83,100,0.53,TR,1683398332
189,belmonte,-15.8631,-38.8828,299.97,70,1,5.48,BR,1683398333
190,necochea,-38.5473,-58.7368,287.36,96,100,3.54,AR,1683398168
191,pasni,25.2631,63.471,300.61,73,0,5.09,PK,1683398333
192,rouissat,31.9243,5.3502,307.46,11,100,4.9,DZ,1683398333
193,dampit,-8.2116,112.7493,294.99,98,85,1.09,ID,1683398333
194,santa marta,11.2408,-74.199,305.18,66,40,2.06,CO,1683398334
195,dudinka,69.4058,86.1778,252.18,100,100,0.55,RU,1683398264
196,chonchi,-42.6128,-73.8092,285.99,91,99,1.73,CL,1683398334
197,wuyang,31.9925,116.2472,288.07,65,100,4.15,CN,1683398334
198,nuuk,64.1835,-51.7216,273.49,86,75,8.75,GL,1683398334
199,qaqortoq,60.7167,-46.0333,276.35,75,52,2.96,GL,1683398335
200,codrington,-38.2667,141.9667,281.61,66,42,5.79,AU,1683398335
201,margaret river,-33.95,115.0667,288.76,56,100,6.0,AU,1683398335
202,zaozersk,69.4005,32.4476,270.44,92,33,1.85,RU,1683398335
203,midvagur,62.0511,-7.1939,281.61,93,100,6.17,FO,1683398336
204,timimoun,29.2639,0.231,309.57,6,100,3.64,DZ,1683398336
